"","Type","Assembly","Number","total","Percentage"
"212","tRNA","barcode90",61,8721,0.699461070978099
"213","Annotated protein","barcode92",3444,8333,41.3296531861274
"214","Hypothetical protein","barcode92",4778,8333,57.3382935317413
"215","Ribosomal RNA","barcode92",27,8333,0.324012960518421
"216","tRNA","barcode92",84,8333,1.00804032161286
"217","Annotated protein","barcode93",1606,3128,51.3427109974425
"218","Hypothetical protein","barcode93",1460,3128,46.6751918158568
"219","Ribosomal RNA","barcode93",9,3128,0.28772378516624
"220","tRNA","barcode93",53,3128,1.69437340153453
"221","Annotated protein","barcode95",1648,3377,48.8007106899615
"222","Hypothetical protein","barcode95",1668,3377,49.3929523245484
"223","Ribosomal RNA","barcode95",8,3377,0.236896653834765
"224","tRNA","barcode95",53,3377,1.56944033165532
