"","Assembly","QC_number","Number_of_reads","Total_bases","Read_length_N50","Mean_read_quality","QC_name"
"65","barcode65","QC1",84481,98493077,2569,12.8,"Read quality from nanopore sequnecing"
"66","barcode66","QC1",165852,129367603,1415,13.9,"Read quality from nanopore sequnecing"
"67","barcode67","QC1",117578,97235160,2302,12.5,"Read quality from nanopore sequnecing"
"68","barcode68","QC1",79785,12560750,150,10.8,"Read quality from nanopore sequnecing"
"69","barcode69","QC1",38799,7382668,651,10.3,"Read quality from nanopore sequnecing"
"70","barcode70","QC1",269114,283178216,2980,13.4,"Read quality from nanopore sequnecing"
"71","barcode71","QC1",31880,4729377,180,10.7,"Read quality from nanopore sequnecing"
"72","barcode72","QC1",474941,339133482,1153,14.4,"Read quality from nanopore sequnecing"
"73","barcode73","QC1",265216,396776883,3436,13.8,"Read quality from nanopore sequnecing"
"74","barcode74","QC1",24893,5473663,662,10.8,"Read quality from nanopore sequnecing"
"75","barcode75","QC1",386998,714388784,4155,14.1,"Read quality from nanopore sequnecing"
"76","barcode76","QC1",303926,351202090,2249,14.4,"Read quality from nanopore sequnecing"
"77","barcode77","QC1",531295,620532586,2106,14.6,"Read quality from nanopore sequnecing"
"78","barcode78","QC1",25786,7421117,1011,10.1,"Read quality from nanopore sequnecing"
"79","barcode79","QC1",518813,405772114,1491,13.9,"Read quality from nanopore sequnecing"
"80","barcode80","QC1",110835,102693029,2014,13.4,"Read quality from nanopore sequnecing"
"81","barcode81","QC1",11947,2280417,952,10,"Read quality from nanopore sequnecing"
"82","barcode82","QC1",137452,111339828,1894,12.6,"Read quality from nanopore sequnecing"
"83","barcode83","QC1",133327,145384614,3432,13.1,"Read quality from nanopore sequnecing"
"84","barcode84","QC1",161510,175846469,2515,13.5,"Read quality from nanopore sequnecing"
"85","barcode85","QC1",330972,246940008,1846,13.4,"Read quality from nanopore sequnecing"
"86","barcode86","QC1",218950,211379095,2134,13.5,"Read quality from nanopore sequnecing"
"87","barcode87","QC1",444130,566573925,2737,14.5,"Read quality from nanopore sequnecing"
"88","barcode88","QC1",431866,407965394,1725,14.3,"Read quality from nanopore sequnecing"
"89","barcode89","QC1",278919,313243778,2572,13.6,"Read quality from nanopore sequnecing"
"90","barcode90","QC1",224050,261778482,2335,13.8,"Read quality from nanopore sequnecing"
"91","barcode91","QC1",383446,347519963,1865,14,"Read quality from nanopore sequnecing"
"92","barcode92","QC1",841629,863279715,2509,14.4,"Read quality from nanopore sequnecing"
"93","barcode93","QC1",445551,556642366,2548,14.3,"Read quality from nanopore sequnecing"
"94","barcode94","QC1",46332,16186632,1039,11.5,"Read quality from nanopore sequnecing"
"95","barcode95","QC1",238977,348237140,2651,14.7,"Read quality from nanopore sequnecing"
"96","barcode96","QC1",213896,437098599,3945,14.6,"Read quality from nanopore sequnecing"
"97","barcode01","QC2",183900,74923101,591,12.9,"Read quality after filtring"
"98","barcode02","QC2",12028,3253967,2260,9.4,"Read quality after filtring"
"99","barcode03","QC2",74792,26228119,515,12.2,"Read quality after filtring"
"100","barcode04","QC2",467445,420724050,1426,14.6,"Read quality after filtring"
"101","barcode05","QC2",146242,98937095,1320,13.4,"Read quality after filtring"
"102","barcode06","QC2",141402,500001510,3866,16.4,"Read quality after filtring"
"103","barcode07","QC2",477005,289098397,1068,13.6,"Read quality after filtring"
"104","barcode08","QC2",99417,79325836,1551,13.3,"Read quality after filtring"
"105","barcode09","QC2",101153,500002538,4965,16.8,"Read quality after filtring"
"106","barcode10","QC2",228741,138135835,1180,13.5,"Read quality after filtring"
"107","barcode11","QC2",473102,452779628,2371,13.9,"Read quality after filtring"
"108","barcode12","QC2",179526,500001135,3165,15.6,"Read quality after filtring"
"109","barcode13","QC2",64025,500001289,7776,16.4,"Read quality after filtring"
"110","barcode14","QC2",114127,500000702,4619,15.7,"Read quality after filtring"
"111","barcode15","QC2",77437,500002758,6591,17,"Read quality after filtring"
"112","barcode16","QC2",54371,500009521,9088,17.6,"Read quality after filtring"
"113","barcode17","QC2",78697,500000920,6474,16.9,"Read quality after filtring"
"114","barcode18","QC2",5875,1521458,2448,7.7,"Read quality after filtring"
"115","barcode19","QC2",220593,275011244,2686,13.7,"Read quality after filtring"
"116","barcode20","QC2",222715,362273217,3020,14.6,"Read quality after filtring"
"117","barcode21","QC2",480648,222716032,688,13.5,"Read quality after filtring"
"118","barcode22","QC2",190664,249890425,2874,13.5,"Read quality after filtring"
"119","barcode23","QC2",155648,153470891,2317,13.5,"Read quality after filtring"
"120","barcode24","QC2",415446,248847555,1404,12.2,"Read quality after filtring"
"121","barcode25","QC2",126172,500001879,4258,16.2,"Read quality after filtring"
"122","barcode26","QC2",93242,500000658,5458,16.7,"Read quality after filtring"
"123","barcode27","QC2",92670,500000944,5512,16.8,"Read quality after filtring"
"124","barcode28","QC2",73472,500002955,6770,17,"Read quality after filtring"
"125","barcode29","QC2",43898,17687657,626,12.5,"Read quality after filtring"
"126","barcode30","QC2",74941,49938220,1343,12.8,"Read quality after filtring"
"127","barcode31","QC2",238177,313500844,2420,14.2,"Read quality after filtring"
"128","barcode32","QC2",140120,500001076,4001,16.6,"Read quality after filtring"
"129","barcode33","QC2",106209,121269121,2518,13.3,"Read quality after filtring"
"130","barcode34","QC2",64615,15772507,355,11.8,"Read quality after filtring"
"131","barcode35","QC2",172282,234549120,2569,14.4,"Read quality after filtring"
"132","barcode36","QC2",162096,234233630,2716,14.1,"Read quality after filtring"
"133","barcode37","QC2",157272,500000411,3831,16.2,"Read quality after filtring"
